NAME	Tcells	Monocytes	NK.cells	B.cells	Neutrophils	Macrophages	Plasma	Eosinophils	Mast.cells	Dendritic.cells	tDC2	tpDC	tDC3	tDC1
ABHD17B	47.2224502735204	21.5771650130371	44.9128524169911	56.6775793151354	1	15.0960839875598	1	86.6805031019587	38.5621414590336	15.0538126602125	1	1	1	1
ABHD17C	1	21.8793348165311	1	1	1	1	1	17.7720011379821	66.2314657429373	15.3857820391882	1	1	1	1
ABI1	75.9210551999663	57.0248205569492	96.7081553385575	63.0694903367963	101.029378646051	86.999246955851	28.6876312809494	55.3887553111015	58.2465430371274	67.4213199411342	1	1	101.701397564593	1
ABI3	26.072540477125	52.9246205262022	182.742563698215	31.2447295645619	1	66.2719183585272	1	9.14278537561818	1	76.8730994923871	107.427191937854	1	1	1
ABL1	31.3679358525939	24.9143047175035	32.0466390446721	21.3437232856804	1	27.7862063140312	1	12.4656479442429	22.9296249450826	30.7282009170436	1	1	1	124.269545769283
ABL2	37.2995180912905	82.1162969265126	48.9100538224005	40.0169122609657	99.3661513301658	207.880502909773	28.0893272214747	106.810503568625	65.0434692867421	156.412104375413	205.079971241883	1	1	1
ABLIM1	146.850399952811	20.9789355873862	89.168163967394	59.3638557555884	1	1	1	83.6565138457718	87.8402524403007	37.6027067013996	1	1	1	1
ABO	1	1	1	1	1	1	1	1	32.1163327843747	1	1	1	1	1
ABR	29.4798692237521	58.4216857397173	65.2634440371686	26.1399968680879	54.9072058351334	115.606161560809	1	32.481677725788	31.8264461956811	81.0047293026566	118.409640464586	1	1	1
ABRACL	100.335785596257	87.9471342856022	94.1238629473843	20.7449824423818	20.8403368885741	69.54816277314	19.7306831077445	65.2154721798078	91.3140157125065	54.5724296881108	1	1	1	90.6855466479099
ABTB1	19.1268354188723	36.4138528819934	30.1705882349692	1	409.23423984915	14.5124073588377	1	34.64664855608	1	1	1	1	1	1
AC003102.1	1	1	20.1093155835931	1	1	1	1	1	1	1	1	1	1	1
AC004156.1	1	1	12.619269776217	1	15.7325545422511	1	1	23.3395887455758	1	1	1	1	1	1
AC004584.1	1	1	1	1	26.5354779034837	1	1	1	1	1	1	1	1	1
AC004687.1	51.2892787144133	47.3337554916429	128.991584083232	66.7830579868657	56.3284218280797	20.4716512442818	1	32.0264899328979	1	61.4832620476403	1	309.807433017811	1	153.702140701734
AC004846.1	1	22.1197757895231	21.3096936824559	1	49.3894770665447	15.1890487899782	1	1	1	1	1	1	1	1
AC004847.1	1	17.8366880037603	45.0398662881037	1	1	1	1	1	1	1	1	1	1	1
AC004865.2	1	1	21.9485371906013	1	1	1	1	1	1	1	1	1	1	1
AC004918.1	1	1	30.3324805642335	1	1	1	1	17.9161038332441	20.1466375313897	1	1	1	1	1
AC005261.4	1	1	1	1	1	1	1	17.0508641754197	1	1	1	1	1	1
AC005330.1	1	1	1	1	26.5101550365861	1	1	1	1	1	1	1	1	1
AC005332.7	1	1	21.2993824127258	1	1	1	1	1	1	1	1	1	1	1
AC005614.1	17.1431693649014	28.4220922423484	59.6244277666108	1	1	13.0455154798009	1	18.1154430148333	17.5894622224035	1	1	1	1	1
AC005632.2	1	15.7622309263943	1	1	39.2720759401246	1	1	1	1	1	1	1	1	1
AC005726.4	1	1	1	1	31.6058882076443	1	1	1	1	1	1	1	1	1
AC005726.5	1	1	1	1	1	1	50.2136434424188	1	1	1	1	1	1	1
AC005831.1	17.5327504905241	1	23.5949916010855	1	1	1	1	1	1	1	1	1	1	1
AC006033.2	1	1	50.976768920873	1	1	1	1	1	1	1	1	1	1	1
AC006449.6	1	1	16.6867830641244	1	1	22.5935768995648	1	1	1	1	1	1	1	1
AC007032.1	1	1	1	1	33.7889983311592	1	1	1	1	1	1	1	1	1
AC007382.1	1	1	27.0979343969364	1	1	1	1	1	1	1	1	1	1	1
AC007406.5	1	1	27.9230420555184	1	1	1	1	1	1	1	1	1	1	1
AC007608.4	1	1	1	1	1	1	1	35.5744279656431	1	18.3307556733646	1	1	1	1
AC007743.1	1	1	14.4207505530074	1	1	1	1	24.5122099144917	1	1	1	1	1	1
AC007998.4	17.2202034201105	18.6481229705151	42.1734420936041	21.21016543318	1	1	1	1	1	1	1	1	1	1
AC008074.3	1	1	1	1	1	1	21.5668853502668	1	1	1	1	1	1	1
AC008758.4	1	19.7238860191234	25.1678420855423	1	37.5198499357576	1	1	1	1	1	1	1	1	1
AC008895.1	1	14.0879478331368	18.7291369777791	1	35.7945590540908	1	1	1	1	1	1	1	1	1
AC008946.1	1	1	1	1	1	1	1	17.4578153434197	1	1	1	1	1	1
AC008993.1	1	11.8376268160964	18.7512223501788	1	59.3186234384952	1	1	14.5793161446368	1	1	1	1	1	1
AC009078.3	1	1	1	1	1	1	1	19.7911953178608	1	1	1	1	1	1
AC009084.2	1	17.7593058813271	21.5544348844834	1	36.66411220233	1	1	1	1	1	1	1	1	1
AC009120.3	1	1	1	1	1	1	15.3862941800828	1	1	1	1	1	1	1
AC009404.1	1	1	1	1	1	28.9771514040859	16.4049262273709	32.1813860732558	1	1	1	1	1	1
AC009407.1	1	1	1	1	30.4733118316821	1	1	1	1	1	1	1	1	1
AC009506.1	1	1	1	1	49.4699645797253	1	1	1	1	1	1	1	1	1
AC009831.4	46.1488066463728	1	45.9909481781847	1	1	1	1	14.5504591366521	1	1	1	1	1	1
AC009948.5	1	14.9176744916234	24.5369468102759	1	1	1	1	70.6793020494836	1	1	1	1	1	1
AC009996.1	1	1	1	1	1	1	1	19.7977469620621	14.7703258153065	1	1	1	1	1
AC010226.1	1	1	1	1	1	1	17.5936828447118	1	1	1	1	1	1	1
AC010319.3	1	1	1	1	1	1	1	36.127681041809	1	1	1	1	1	1
AC010463.3	1	1	1	1	1	1	1	31.6900676915056	1	1	1	1	1	1
AC010642.2	1	1	16.7847691777718	1	1	1	31.8619433305313	23.8016681860763	20.7916910446053	12.1429221341757	1	1	1	1
AC011379.1	1	1	1	18.7321982857433	1	1	1	1	1	1	1	1	1	1
AC011466.4	1	1	1	1	18.428120895197	1	1	22.8232983421566	1	1	1	1	1	1
AC011472.2	1	1	1	1	113.230564290724	1	1	1	1	1	1	1	1	1
AC011498.1	1	1	1	1	1	20.0260542576954	1	1	1	1	1	1	1	1
AC011840.1	1	1	1	1	1	1	1	1	54.9864605145418	1	1	1	1	1
AC012236.1	1	1	1	1	1	1	102.697711344473	1	1	1	1	1	1	1
AC012254.2	1	1	1	1	1	12.1292244311936	16.2166505336698	1	18.486765633309	1	1	1	1	1
AC012317.2	1	32.9529563377613	1	1	152.719913073264	1	1	1	1	1	1	1	1	1
AC012368.1	1	13.216092080604	1	1	126.166190790472	1	14.0346722747278	1	1	1	1	1	1	1
AC012615.1	18.0246931055904	1	13.8221020345989	1	1	1	1	1	1	1	1	1	1	1
AC015871.3	1	1	1	1	33.3655881550389	1	1	1	1	1	1	1	1	1
AC015912.3	1	1	1	1	38.6948907349274	1	1	1	1	1	1	1	1	1
AC016405.1	1	1	1	18.6598819059964	1	11.3976358911914	1	12.604056145179	1	1	1	1	1	1
AC016588.2	1	1	1	1	1	1	1	15.1357170838874	1	1	1	1	1	1
AC016708.1	1	1	21.6064459605722	1	1	1	1	1	1	1	1	1	1	1
AC016745.2	1	14.7701904641788	23.1315960483148	1	41.8918791364299	1	1	1	1	1	1	1	1	1
AC016831.1	1	1	1	1	29.0894957693225	12.6107943496153	1	1	1	1	1	1	1	1
AC016831.5	72.2650532421232	26.0224162815447	53.5462183596621	57.1835669705956	45.4998314728414	31.571483302383	71.6376473829983	41.4839513754281	1	28.6602168117615	1	215.58910719081	1	1
AC016949.1	1	26.7032494714823	32.4319266995725	22.6772699594986	1	14.0305436627875	1	59.6170829551362	19.8235835776476	25.9560917174214	1	1	1	1
AC016957.2	16.7499569451869	1	24.3916803639038	1	36.9721326657374	1	1	1	1	1	1	1	1	1
AC018445.4	1	1	1	26.4263262893417	1	1	1	28.7392790891071	15.2852285223457	1	1	1	1	1
AC018695.7	1	20.6597886269212	25.4658041205736	1	40.9024455142324	1	1	1	1	1	1	1	1	1
AC020571.1	1	1	1	1	1	1	1	32.2565526412502	1	1	1	1	1	1
AC020656.1	1	58.3976690867744	1	1	17.6224712505305	54.2262776543195	1	1	1	58.8094572619208	1	1	1	103.506986857676
AC020907.3	1	21.0182471820808	26.0784992154154	1	73.4057368518812	12.5921705100957	1	1	1	1	1	1	1	1
AC020916.1	44.2957261523367	27.692537301051	1	50.9764718117546	72.5428951567493	28.6630479202198	37.2628984866221	181.214662497184	86.4845011555821	33.8126008514733	1	1	1	1
AC021087.3	1	1	1	1	43.8237782072786	1	1	1	1	1	1	1	1	1
AC022211.4	1	1	1	1	24.3795530319225	1	1	1	1	1	1	1	1	1
AC022405.1	1	1	1	1	24.9375346958763	1	1	1	1	1	1	1	1	1
AC022497.1	1	14.9933205317784	1	1	1	23.5350586975896	1	1	1	16.3206193080647	1	1	1	1
AC022706.1	22.4005680787328	1	38.5064980940882	1	1	1	1	1	1	1	1	1	1	1
AC023157.3	1	21.3430117908578	13.6209448844394	1	173.433265950392	11.8909185290049	1	23.778266998808	23.962254670523	1	1	1	1	1
AC023283.1	1	1	1	24.9027352896607	1	1	1	1	1	1	1	1	1	1
AC023355.1	1	1	1	1	1	1	1	17.103175107287	1	1	1	1	1	1
AC024075.2	1	1	14.9730907771719	1	1	1	1	20.5855412742042	1	1	1	1	1	1
AC025164.2	35.0840260373566	20.3231577434418	1	53.4819323750553	1	1	1	26.208816910749	1	1	1	1	1	1
AC025268.1	1	13.2043993528594	17.3981374758454	1	1	1	1	26.6307485893818	1	1	1	1	1	1
AC025279.1	1	1	1	46.1867445555348	1	1	1	1	1	1	1	1	1	1
AC025539.1	1	1	17.5434283217152	15.4575835913667	1	1	1	1	1	1	1	1	1	1
AC026979.3	34.4033299017144	11.3012895997592	25.1113923240199	1	34.2638241594811	13.6609435429027	1	1	1	1	1	1	1	1
AC027097.1	16.7096904474735	19.5612568388707	35.9712105872617	49.3160104780906	1	1	1	11.3392415848428	1	1	1	1	1	1
AC027288.3	1	15.9882801352443	36.4222893997485	1	1	12.3012006821392	1	1	1	1	1	1	1	1
AC027290.2	144.817347682491	112.344029562203	154.281675864597	290.419583959613	238.06219074911	77.7657475822729	40.7280479934812	307.209394181057	125.772391798513	85.0608409869933	1	1	1	1
AC027644.3	1	20.2799133138636	17.48339121098	1	49.2721162995698	14.4807590651474	1	69.9759626379523	21.9476823265551	1	1	1	1	1
AC034187.1	1	1	1	1	1	1	1	21.3634663107506	1	1	1	1	1	1
AC044849.2	20.9366433735514	1	1	1	1	1	1	1	1	1	1	1	1	1
AC046185.3	1	1	21.2646578643208	1	1	1	1	1	1	1	1	1	1	1
AC060780.1	18.9837759972371	21.8243413413151	45.0805121797318	44.4871506547151	45.9538917381333	20.7887167293125	26.8884846438808	26.2921582144746	35.577609607332	16.8062590449247	1	193.021220723937	1	1
AC063949.2	1	1	1	36.2360588086914	1	1	1	1	1	1	1	1	1	1
AC064805.1	1	22.6777913564116	1	1	1	1	1	1	1	1	1	1	1	1
AC068547.1	42.5368522085271	54.2959266100949	60.7590670921359	44.9397219412257	1	66.4116144835321	35.3561718105976	52.9754132201216	56.9402797701422	68.4755000907981	1	1	1	184.520927921775
AC068580.4	1	1	1	1	1	35.1084436899104	1	1	1	1	1	1	1	1
AC068587.6	40.1742776975815	73.5922490153115	56.8659868110699	75.5170593086599	92.1223026249029	41.5911548404422	19.5264527618533	85.171157918581	51.407659376934	63.4349489126376	1	1	1	146.035810430338
AC073111.5	1	1	1	21.4845375496356	1	1	1	1	1	1	1	1	1	1
AC073172.1	1	1	1	1	24.0358322329591	1	1	1	1	1	1	1	1	1
AC074117.1	108.494831454701	95.068204517363	122.001540739354	91.6461593662129	93.9686979118973	80.5845230682871	32.0469043109393	134.164543037176	199.543417113645	65.0991125582341	1	162.140345878298	1	1
AC078795.1	1	1	1	1	1	1	1	17.7748320454559	11.9233005467041	1	1	1	1	1
AC078883.1	1	1	1	1	1	1	33.2124623370232	1	1	1	1	1	1	1
AC078927.1	1	1	1	1	1	1	1	17.6375125982014	1	1	1	1	1	1
AC079174.2	1	1	1	1	1	1	1	26.5407424070851	1	1	1	1	1	1
AC079331.1	1	1	27.1131690148656	1	1	1	1	1	1	1	1	1	1	1
AC079630.1	1	1	1	1	30.9262589439422	1	1	1	1	1	1	1	1	1
AC083799.1	1	14.2618327563348	1	1	95.62444133105	18.5370419671472	1	1	23.9732064622537	13.4702409527	1	1	1	1
AC083862.2	1	1	1	1	47.5468838684096	1	22.8301449573394	1	1	1	1	1	1	1
AC084824.3	1	1	1	1	1	1	1	20.0308033445321	1	1	1	1	1	1
AC087284.1	1	18.9214708332712	1	1	1	1	1	1	1	12.9989856817253	1	1	1	1
AC090152.1	1	1	37.4168838872894	1	1	1	1	1	1	1	1	1	1	1
AC090907.2	1	13.0081852917014	14.6471017112912	1	45.2611858949377	1	1	1	1	1	1	1	1	1
AC091057.2	1	1	37.0781796844137	1	1	1	1	1	1	16.2545863790717	1	1	1	1
AC091271.1	1	1	1	1	30.6085439627674	1	1	1	1	1	1	1	1	1
AC091825.1	1	1	1	1	1	1	1	16.7977476809334	1	1	1	1	1	1
AC091948.1	1	1	1	1	1	1	58.1725884154942	1	1	1	1	1	1	1
AC092068.2	1	11.7669445772378	15.1132447603576	14.0304637033733	53.0705287666149	1	1	1	1	1	1	1	1	1
AC092069.1	1	1	1	1	1	20.1524997362114	1	1	22.3253625657709	32.5243824957831	1	1	1	1
AC092118.1	1	1	1	1	30.0527216419186	1	1	17.3233003479984	1	1	1	1	1	1
AC092490.1	1	1	1	1	1	18.4404297152291	1	1	1	1	1	1	1	1
AC092683.1	18.4436233963854	15.3691801658319	22.1961442075632	18.8713556421202	1	1	1	1	1	1	1	1	1	1
AC092718.3	1	1	1	1	1	1	1	48.9794923353658	1	1	1	1	1	1
AC092723.1	1	1	13.4821699105764	1	45.4474035242713	1	1	1	1	1	1	1	1	1
AC092756.1	1	10.5921105462856	1	1	19.4136103678517	1	1	24.1494872978249	1	1	1	1	1	1
AC092821.1	1	1	1	1	28.0124394161193	1	1	1	1	1	1	1	1	1
AC092821.3	25.8405034084324	1	127.698353127163	36.5939444876282	1	1	1	1	1	1	1	1	1	1
AC092868.2	1	1	1	1	23.9993621649352	1	1	1	1	1	1	1	1	1
AC093010.2	1	1	21.68143512076	1	1	1	1	1	1	1	1	1	1	1
AC093323.1	1	1	31.4204134372262	1	1	1	1	1	1	1	1	1	1	1
AC093599.1	1	1	1	1	1	1	24.02072856435	1	1	1	1	1	1	1
AC093904.4	1	1	1	1	43.9443371940775	1	1	1	1	1	1	1	1	1
AC096564.2	1	12.7481681446959	1	1	38.6818636904764	1	1	1	1	1	1	1	1	1
AC096667.1	1	26.5400272404586	1	1	23.6787848045632	1	1	1	1	1	1	1	1	1
AC098818.2	1	1	1	1	1	1	1	32.0426095954502	1	1	1	1	1	1
AC099063.4	25.432981020032	49.9253376264899	99.2454829736246	22.5911154255477	1	17.7607350673669	1	19.9601184328594	16.3362686382824	22.8582239335433	1	1	1	1
AC099343.3	1	15.725811637559	28.4488355829202	1	45.3938375674004	1	1	14.5828744232419	1	1	1	1	1	1
AC099850.1	1	25.4828186019479	14.7902470739964	1	61.4472704390876	14.6356575529851	1	1	1	18.2397455081515	1	1	1	1
AC103957.2	1	12.8303433086868	24.5190812566072	1	1	1	1	1	1	1	1	1	1	1
AC104024.1	1	1	1	35.0260392328124	1	1	12.76444894472	1	1	1	1	1	1	1
AC104135.1	1	14.7984416081208	16.8194574371014	1	35.6698360114002	1	1	1	1	1	1	1	1	1
AC104581.4	1	19.7071519649911	1	1	26.7592166047024	59.7647287081092	1	40.422898771795	17.1976078995172	22.5256558765174	1	1	1	1
AC104667.2	1	11.8050911570353	1	17.4624599348924	20.3027220148224	1	1	40.1379897535403	1	1	1	1	1	1
AC104695.2	24.0556928336268	26.0296685462763	19.3705527512646	1	1	74.0334094826202	1	29.594940137545	29.6425033662847	56.6614489047702	1	1	1	1
AC104699.1	1	1	1	1	1	1	21.335034783383	1	1	1	1	1	1	1
AC104794.2	1	18.156614525864	22.1607694038231	1	1	1	1	1	1	1	1	1	1	1
AC107398.3	1	21.8963246969457	14.3558802302594	1	55.9939651530667	1	1	20.3425882292182	12.3524599657213	1	1	1	1	1
AC107993.1	1	12.328251134445	1	1	38.7916297424886	1	1	1	1	1	1	1	1	1
AC108134.3	26.376343205112	1	59.8399848729813	1	1	1	1	66.5784941909295	1	1	1	1	1	1
AC108704.2	1	19.8749040246709	44.5501784503948	1	71.7117668985797	1	1	1	1	13.1438617493065	1	286.310295215142	1	1
AC108718.1	1	1	1	1	29.9906454573921	1	1	1	1	1	1	1	1	1
AC109326.1	1	1	1	1	1	18.8884519957628	1	39.0798669553415	1	1	1	1	1	1
AC109466.1	1	14.7601688523544	25.5034788949796	18.2245262582053	1	12.0482198427672	1	1	1	1	1	1	1	1
AC114488.3	1	1	1	1	1	1	20.0409938956331	1	1	1	1	1	1	1
AC118344.2	1	20.5920432216695	15.7915275471437	1	1	1	1	1	1	1	1	1	1	1
AC118758.3	1	23.5654598333278	18.532943836921	1	76.523417853645	1	1	11.7367146736908	14.8507351013515	1	1	1	1	1
AC125257.1	23.3513889375427	1	19.6452606043308	1	1	1	1	1	29.4125513244937	1	1	1	1	1
AC127496.1	1	1	12.3157113291541	1	33.369248758819	1	1	1	1	1	1	1	1	1
AC127496.7	1	1	1	1	1	1	1	14.0097227763635	1	1	1	1	1	1
AC127502.2	1	18.8361190628648	47.1354204836227	1	1	16.0283826513973	1	1	1	1	1	1	1	1
AC130469.2	1	27.3310634084316	45.0523414298464	1	76.711039857107	1	1	1	1	12.5504724884951	1	1	1	1
AC131009.2	1	1	1	1	26.2488980360127	1	1	1	1	1	1	1	1	1
AC131649.2	1	15.8228816548523	14.4742258973847	1	21.1082900661691	1	1	38.0123737857485	1	1	1	1	1	1
AC132872.1	1	1	1	1	26.3316179259958	1	1	1	1	1	1	1	1	1
AC133065.6	1	12.9228762557747	1	1	1	12.5588661942908	1	1	1	21.7943326969081	1	1	1	1
AC133637.1	1	1	1	39.7665020998832	1	1	1	1	1	1	1	1	1	1
AC133644.2	16.5260512566497	1	1	1	1	1	1	1	1	1	1	1	1	1
AC134669.2	18.9011063404758	28.7822728065144	1	15.4981913105393	105.998403242839	1	1	1	1	1	1	1	1	1
AC135050.3	1	1	1	1	1	25.2241115103535	1	1	1	15.3375455353083	1	1	1	1
AC138150.1	1	1	39.1247508439791	1	1	1	1	1	1	1	1	1	1	1
AC145285.2	1	1	14.5918558073829	15.4563381644201	1	1	1	1	1	1	1	1	1	1
AC239800.3	31.7549305632011	13.6508022560298	77.1155727867756	1	24.3336520352199	1	1	11.8695496859719	15.6714192211793	1	1	1	1	1
AC240565.2	1	11.2532927084643	1	1	46.9818950830948	1	1	1	16.6028276272233	1	1	1	1	1
AC245128.3	1	103.189424074904	1	1	394.599764252053	20.1123255859205	1	46.5814005843105	1	1	1	1	1	1
AC245297.2	1	1	19.2077671748082	1	1	1	1	1	1	1	1	1	1	1
ACAP1	150.258107567767	34.7980923267714	177.184543452599	136.77612728358	80.2269088039959	13.5963837713093	25.0775834985962	58.1477912538536	15.6291006639391	24.9156887265924	1	1	1	1
ACAP3	1	24.3273268886848	18.3332269757141	1	1	1	18.7054201101002	1	17.4801298959559	11.5674719009645	1	1	1	1
ACBD7	1	13.8645137419611	29.5457805531326	1	1	1	1	1	1	1	1	1	1	1
ACD	1	1	27.1594960988056	1	1	1	1	17.551924714785	1	1	1	1	1	1
ACE	17.2044218804957	22.2840524055896	18.8443021926112	1	20.1177744130811	119.935124642812	1	18.7331772160801	16.6074905501483	53.5625479165896	1	1	1	1
ACKR3	1	22.8208800008074	1	1	1	31.3457014183753	1	1	24.7642584664234	1	1	1	1	1
ACP2	1	26.0071240282705	18.6528430069916	1	1	143.286914650419	13.363274026788	1	1	34.5249312963883	1	1	1	1
ACP5	25.6107151137692	87.6483243292204	22.3651018862211	46.6087405186638	1	981.983655393531	15.0895348899513	43.8376069016372	34.843950420282	182.121949503708	1	1	1	1
ACSL1	25.746398822105	265.82537421644	25.9942752596975	45.2194670833626	1058.24770835673	291.700193402632	1	106.637083373689	67.3147894061649	197.89124709984	1	1	1	1
ACSL5	50.22947928175	70.9472326223143	57.5361315381951	26.411216427257	49.0725579959524	46.0539764523739	17.2674500832435	23.7131390392054	35.0706646135758	53.7387358260004	1	1	1	113.05499183734
ACTN1	51.6124756185445	188.035211548214	24.8928007240482	23.4492834690468	789.168417695256	230.232107701926	1	180.539159641555	115.730410420062	229.885568243229	208.452796241044	1	273.897480823122	372.962193385041
ACTN4	248.938002231082	238.389296449628	431.135407978643	100.454895817646	342.398322818326	175.091866092283	64.6711836575581	265.417477898481	236.150837500645	306.304762518768	239.928768948108	862.975329725296	174.07056087419	188.114173078545
ACVR2B	1	1	1	1	1	1	59.9127246262294	1	1	1	1	1	1	1
ACVRL1	1	1	1	1	1	29.7590435525496	1	1	1	1	1	1	1	1
ACYP2	1	10.7321574458395	16.9159560287109	16.9067734302999	1	1	1	14.8973394233313	1	1	1	1	1	1
AD000090.1	1	1	1	1	1	17.9248786428474	17.90168121592	1	20.2170876328624	33.8783513889543	1	1	1	1
AD000671.3	1	1	1	1	23.8865530738078	1	1	1	1	1	1	1	1	1
ADA	18.1861617700881	14.6740487269331	41.3907150324067	1	1	1	14.1878216437924	1	1	1	1	1	1	1
ADA2	81.8839348836786	374.892027313133	111.475079180463	51.7067931453721	32.7231752828848	373.851203969564	392.177014635476	62.6531276560247	22.9817240637188	237.292214385527	322.971310145953	260.182289671481	1	451.714979305837
ADAL	1	1	21.1441426164386	1	1	1	1	1	1	1	1	1	1	1
ADAM12	1	1	1	1	1	1	1	33.086004021198	73.4229082482966	1	1	1	1	1
ADAM15	1	35.7611195632529	15.6496159325055	1	1	20.4637289807019	28.5317846576315	1	20.0323815293155	27.5215065455246	1	1	1	1
ADAM19	99.4977862682393	70.1864339642866	1	81.7654850260193	100.935533194894	1	73.879592045095	65.4056263528244	1	193.176698741508	487.339209482516	565.324717553523	550.953275440863	390.80065092256
ADAM23	1	1	1	1	1	1	1	1	32.4743598536851	1	1	1	1	1
ADAM28	1	24.1186855564881	12.1621737312965	238.256108419961	1	24.4173264635665	37.2254764935328	16.8396393676522	1	54.2785623604012	1	1	1	1
ADAM8	63.1834493433386	117.726686671848	182.961044499139	40.1417122780919	509.427133349186	104.080986886099	1	93.5306476969133	37.8969194767683	131.377427793751	269.029917577139	1	159.24385477921	1
ADAM9	1	43.9445514095469	1	1	1	112.973479352674	1	21.7711833727923	52.8973125705386	78.1309423732982	1	1	1	1
ADAMDEC1	1	1	1	1	1	24.8559960773949	1	1	1	1	1	1	1	1
ADAMTS3	1	1	1	1	1	1	1	17.227127956299	1	1	1	1	1	1
ADAMTS7	1	1	1	1	1	1	1	26.7876851907248	1	1	1	1	1	1
ADAMTSL4	1	39.5708385141198	1	1	1	70.9646387551783	1	1	1	43.201992901331	1	1	1	1
ADAMTSL4-AS1	1	1	1	1	23.06702089997	1	1	1	1	1	1	1	1	1
ADAP1	1	29.7297715891921	35.9623063794871	1	18.2375808694512	1	1	1	1	18.5410270340084	1	1	1	1
ADAP2	1	88.6290765901264	1	25.4568279729891	24.0300148254962	187.519522500716	1	1	1	114.360912944552	200.838158996745	1	1	108.353358567624
ADARB1	20.8616956932854	1	1	1	1	1	1	25.8674084333508	1	1	1	1	1	1
ADAT3	1	1	1	1	1	1	19.5284764395992	1	1	1	1	1	1	1
ADCY3	37.4161695852256	16.2778107183011	1	15.5206239260416	1	60.6750461875294	1	33.2237990436265	48.2262678979863	78.7295420399534	1	1	1	1
ADCY7	66.2656076874641	116.042930339395	290.016492744141	39.6100209549423	45.8563228043824	59.8439857490068	16.7800874097158	135.237853213657	48.2225759427966	91.8435460122905	241.657247858947	1	1	147.308388986282
ADCYAP1	1	1	1	1	1	1	1	209.163309735561	181.301323685133	1	1	1	1	1
ADD1	80.468691364576	87.4400880012896	191.102719156827	88.4728347621833	89.3878421389644	66.3353123966701	24.324394631127	56.1429555445862	65.8881651453901	74.4873258865207	1	155.303751339618	1	1
ADD2	1	1	1	17.5949733118299	1	1	1	1	1	1	1	1	1	1
ADGRE1	1	29.0792377433506	1	1	1	1	1	1	1	1	1	1	1	1
ADGRE3	1	1	1	1	37.3114728270279	1	1	1	1	1	1	1	1	1
ADGRF1	1	21.8237671202475	13.5017907241304	1	54.4036105191397	1	1	1	1	16.4190703398674	1	1	1	1
ADGRF5	1	46.6128714495906	1	1	1	1	1	42.0079018161954	23.3424117124217	65.4972583587121	1	1	1	1
ADGRG1	1	19.4612209829572	654.503354806694	1	1	1	1	26.2329577678375	28.7464119399915	59.9208039948926	1	1	1	1
ADGRG3	1	1	1	1	263.088417799896	1	1	37.0420696484499	1	1	1	1	1	1
ADGRG5	1	1	41.1604534673929	1	1	1	20.7474540037827	1	1	1	1	1	1	1
ADGRG6	1	1	1	1	1	1	1	1	15.0457534256485	21.6709013272229	1	1	1	1
ADGRL1	1	1	26.0848363573412	1	1	1	19.9454496403472	12.5926154320604	21.0234530347098	1	1	1	1	1
ADGRL2	1	1	1	1	1	1	1	69.5760994022567	1	1	1	1	1	1
ADH7	1	1	1	1	1	1	1	1	73.4212751923893	1	1	1	1	1
