NAME	Tcells	Monocytes	NK.cells	B.cells	Neutrophils	Macrophages	Plasma	Eosinophils	Mast.cells	Dendritic.cells	tDC2	tpDC	tDC3	tDC1
A2M	1	57.6045246110991	1	1	1	267.08512635478	1	75.9975999955022	1	320.315251527197	1	1	1	1
A4GALT	1	1	1	1	1	1	1	1	32.4703245192723	1	1	1	1	1
AARS	23.7947650399999	20.2364987745271	28.9445612587726	17.2580644777643	1	28.6070402541979	86.5919037462771	29.322023127051	52.0471575339211	37.9437444697493	1	1	1	1
AASDH	1	12.8920940111887	23.1376352995288	1	1	1	1	1	1	1	1	1	1	1
AASS	1	1	1	1	1	1	1	19.9271758859766	17.073419944887	1	1	1	1	1
AATBC	1	20.5249021660917	1	1	1	1	1	1	1	1	1	1	1	1
AATK	1	14.5958493239663	1	1	110.701930358151	13.4276589442355	1	1	1	1	1	1	1	1
ABCA1	1	50.2754669474758	1	34.6534588523073	88.4852829480325	255.938483870213	1	118.95794673236	68.349737076124	77.8248956278239	1	1	1	1
ABCA2	22.561859864117	15.3418241186943	49.3089864736108	1	19.315643004257	1	1	1	1	1	1	1	1	1
ABCA3	1	1	1	1	1	1	1	1	33.1121380670187	1	1	1	1	1
ABCA7	1	16.4815029532971	28.4139858014456	1	69.7126783216696	1	1	1	1	1	1	1	1	1
ABCB1	23.0268656427711	1	67.8837792515436	1	1	1	1	15.2951813367132	1	1	1	1	1	1
ABCB8	1	1	19.128121675006	1	1	12.4789042411675	1	27.7432482667043	1	1	1	1	1	1
ABCC4	1	1	12.3316176979319	1	1	13.5663706417538	26.598616632982	41.418568328867	59.0320969307795	31.7038847940627	1	1	1	1
ABCD1	1	15.7473491543334	1	1	1	28.7007109276942	1	1	1	16.8529362200267	1	1	1	1
ABHD12	17.3284455495903	33.112601513736	25.2237519851025	1	1	179.826803068192	27.062896892726	22.7157736654259	38.4461691956058	91.2724720232693	1	1	1	1
ABHD14A	1	1	15.3961746976493	1	1	1	24.541970776765	1	1	1	1	1	1	1
ABHD15	33.9595774760725	39.0661928811786	68.4328722526272	61.1996271678367	49.6672624061491	38.5179076982455	11.1994229724811	33.2835275740511	24.1315376560396	38.0407819931844	1	239.564931869622	1	1
ABHD17A	93.362250190277	50.0987712492711	390.147181546515	28.1419342894929	39.4291256655969	32.8654028290228	18.1901640051376	48.7299190827746	42.1965919662386	46.7172183485282	1	1	1	1
