NAME	CD4.memory.activated	Monocytes	CD4.memory.resting	NK.cells.resting	B.naive	Neutrophils	Macrophages.M2	Plasma	CD8.cells	T.cells.CD4.naive	B.memory	NK.activated	Eosinophils	T.cells.regulatory	T.cells.helper	Macrophages.M0	Macrophages.M1	Mast.activated	Dendritic.cells.resting	Dendritic.cells.activated	Mast.resting
AC011511.5	1	1	1	1	1	1	1	1	1	1	1	56.9643040405653	1	1	1	1	1	1	1	1	1
AC011840.1	62.7761675538097	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	26.9775494253306	1	1	210.789654659623
AC012038.1	1	1	1	1	1	1	1	1	1	22.8596517143493	1	1	1	1	1	1	1	1	1	1	1
AC012236.1	1	1	1	1	1	1	1	94.7283888195479	1	1	1	1	1	1	1	1	1	1	1	1	1
AC012254.2	37.6913840418968	1	1	1	1	1	1	17.775034479278	1	1	1	1	1	1	1	17.105656524192	1	1	1	1	1
AC012317.2	1	26.664650766065	1	1	1	146.558242175933	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC012358.3	1	1	1	23.6865051158514	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC012368.1	1	1	1	1	1	127.707650687666	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC015883.1	1	22.5363396756969	1	24.8744756287127	1	54.6498345475572	1	1	1	22.2837372635827	1	1	32.8880046408769	1	1	1	1	24.092451278036	1	1	1
AC015920.1	1	1	1	1	1	32.9963227629009	1	1	1	1	1	1	28.0989476311567	1	1	1	30.1668232970247	1	1	1	1
AC016245.1	1	1	1	1	1	1	1	1	1	1	1	28.3191143757401	1	1	1	1	1	1	1	1	1
AC016708.1	1	1	1	21.1619333455788	1	1	1	1	1	28.107177109838	1	1	1	1	1	1	1	1	1	1	1
AC016734.2	1	19.3000517068374	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC016745.2	1	1	1	21.7560742797533	1	43.5088550926623	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC016949.1	1	23.5372402077032	1	26.4319631588448	29.0523844420841	1	1	1	1	1	1	1	60.1213483225585	1	1	17.4498590719633	22.240254980922	26.481723973052	23.884470047519	35.6679367533566	1
AC016957.2	1	1	1	23.1932426129568	1	34.986331634808	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
